Papel	Segmento	Cotação	FFO Yield	Dividend Yield	P/VP	Valor de Mercado	Liquidez	Qtd de imóveis	Preço do m2	Aluguel por m2	Cap Rate	Vacância Média
HGLG11	Logística	168,10	7,08%	8,15%	1,14	3.582.780.000	5.182.670	16	3.948,01	218,17	5,53%	7,52%
HGPO11	Lajes Corporativas	251,88	6,66%	5,87%	0,94	441.560.000	464.884	2	33.603,90	2.051,42	6,10%	0,00%
HGRE11	Lajes Corporativas	132,39	5,85%	8,20%	0,80	1.564.550.000	2.378.060	20	7.491,37	572,52	7,64%	22,89%
HGRU11	Híbrido	113,92	7,22%	7,64%	0,96	2.096.860.000	4.291.310	81	7.310,88	555,39	7,60%	0,00%
HLOG11	Logística	93,10	7,99%	8,78%	0,83	395.675.000	147.709	4	1.213,96	81,35	6,70%	0,12%
HOSI11		74,20	10,85%	8,84%	0,80	42.550.000	16.110	0	0,00	0,00	0,00%	0,00%
HPDP11	Shoppings	80,00	4,06%	4,47%	0,84	232.705.000	5.272	1	1.805,22	83,04	4,60%	1,59%
HRDF11	Híbrido	1,24	-2,77%	0,00%	0,93	9.408.040	749	0	0,00	0,00	0,00%	0,00%
HREC11	Títulos e Val. Mob.	96,49	4,97%	11,62%	1,03	274.611.000	13.864	0	0,00	0,00	0,00%	0,00%
HSAF11	Títulos e Val. Mob.	94,45	4,71%	12,69%	0,98	167.519.000	403.096	0	0,00	0,00	0,00%	0,00%
HSLG11	Logística	90,73	7,66%	7,68%	0,80	1.148.650.000	577.458	5	2.577,83	252,58	9,80%	2,41%
HSML11	Shoppings	75,64	6,90%	6,78%	0,79	1.193.650.000	1.886.710	5	7.568,37	413,77	5,47%	3,83%
HSRE11	Híbrido	99,00	6,18%	6,70%	1,02	843.288.000	509.241	27	8.236,91	743,50	9,03%	0,00%
HTMX11	Hotel	82,50	-3,32%	0,00%	0,66	103.704.000	109.130	24	43,45	0,03	0,07%	0,00%
HUSC11	Outros	110,98	8,13%	7,53%	0,78	88.186.200	204.965	1	1.195,68	115,60	9,67%	0,00%
