Papel	Cotação	P/L	P/VP	PSR	Div.Yield	P/Ativo	P/Cap.Giro	P/EBIT	P/Ativ Circ.Liq	EV/EBIT	EV/EBITDA	Mrg Ebit	Mrg. Líq.	Liq. Corr.	ROIC	ROE	Liq.2meses	Patrim. Líq	Dív.Brut/ Patrim.	Cresc. Rec.5a
RPAD3	6,35	28,06	0,52	0,000	0,00%	0,515	54,53	-128,03	55,17	-125,04	-125,04	0,00%	0,00%	3,82	-0,41%	1,84%	4.029,12	1.040.860.000,00	0,00	-19,89%
LUXM4	81,99	28,16	4,16	3,466	1,96%	2,675	21,88	21,39	-30,39	20,92	11,85	16,20%	12,31%	1,83	15,72%	14,79%	158.461,00	102.314.000,00	0,19	2,99%
MOSI3	7,24	28,37	1,37	4,183	0,01%	1,277	1,66	78,81	1,67	32,10	18,60	5,31%	14,75%	13,30	8,12%	4,82%	5.324.340,00	670.337.000,00	0,00	0,00%
ARZZ3	82,30	28,47	5,84	3,650	1,02%	2,891	21,28	32,05	-110,74	33,02	24,62	11,39%	12,80%	1,40	11,89%	20,52%	77.432.600,00	1.546.530.000,00	0,37	12,63%
BRGE6	9,00	29,10	0,53	96,283	8,36%	0,216	0,53	-1,36	1,16	1,76	1,77	-7.083,11%	403,81%	3,24	-31,65%	1,83%	41,86	1.247.620.000,00	0,00	-21,73%
IGTI11	18,70	29,47	2,80	6,788	0,00%	0,681	3,41	18,84	-2,45	26,24	16,54	36,02%	46,31%	5,31	4,56%	9,51%	47.281.900,00	1.762.140.000,00	1,94	1,01%
BRGE8	9,19	29,72	0,54	98,316	3,41%	0,221	0,54	-1,39	1,18	1,73	1,74	-7.083,11%	403,81%	3,24	-31,65%	1,83%	275,79	1.247.620.000,00	0,00	-21,73%
LIPR3	65,00	29,88	3,70	0,000	3,11%	3,198	12,48	-129,83	14,37	-116,07	-116,15	0,00%	0,00%	3,51	-3,73%	12,39%	18.049,40	206.596.000,00	0,00	0,00%
ALPA3	23,99	31,39	4,23	3,481	1,62%	2,643	8,83	17,10	13,17	16,29	13,66	20,35%	11,13%	2,13	20,91%	13,48%	93.777,70	3.335.250.000,00	0,07	-0,06%
AMBP3	38,30	31,95	3,68	2,962	0,25%	0,917	5,77	17,73	-2,48	24,02	15,45	16,70%	9,78%	1,82	6,76%	11,51%	29.976.400,00	1.176.380.000,00	2,13	0,00%
MULT3	20,70	32,19	1,92	10,856	2,38%	1,139	12,63	22,43	-4,80	26,05	19,31	48,39%	33,68%	2,12	5,77%	5,98%	137.289.000,00	6.462.260.000,00	0,49	-0,47%
CCRO3	12,42	33,27	2,94	2,090	1,34%	0,636	6,00	7,52	-1,28	12,34	6,39	27,79%	7,29%	1,62	10,89%	8,85%	114.328.000,00	8.522.990.000,00	2,85	3,51%
ALPA4	25,83	33,79	4,55	3,748	1,66%	2,846	9,51	18,41	14,17	17,61	14,76	20,35%	11,13%	2,13	20,91%	13,48%	94.282.000,00	3.335.250.000,00	0,07	-0,06%
NGRD3	2,94	33,92	1,48	2,966	0,42%	0,905	2,78	21,33	8,00	14,40	9,43	13,91%	8,75%	2,83	7,46%	4,37%	4.725.810,00	472.893.000,00	0,20	0,00%
VAMO3	12,02	34,74	4,31	4,814	1,63%	1,619	6,25	19,02	-7,08	21,17	14,15	25,31%	13,89%	2,91	13,10%	12,41%	28.634.400,00	2.724.400.000,00	1,19	72,71%
ALSO3	21,80	35,24	0,87	6,602	1,04%	0,520	4,72	15,22	-3,64	17,50	11,66	43,36%	22,64%	3,18	3,88%	2,46%	32.817.200,00	6.693.810.000,00	0,32	31,67%
IGTI3	3,26	35,97	3,42	8,283	0,17%	0,831	4,16	23,00	-2,99	30,39	19,15	36,02%	46,31%	5,31	4,56%	9,51%	2.027.020,00	1.762.140.000,00	1,94	1,01%
STBP3	7,20	36,07	2,75	4,597	3,61%	1,308	6,72	21,42	-5,46	18,94	11,72	21,46%	12,75%	3,17	8,19%	7,61%	33.115.600,00	2.261.990.000,00	0,18	10,16%
RPAD5	8,21	36,28	0,67	0,000	6,86%	0,666	70,50	-165,53	71,34	-162,54	-162,54	0,00%	0,00%	3,82	-0,41%	1,84%	27.106,00	1.040.860.000,00	0,00	-19,89%
SYNE3	7,12	36,31	0,66	2,269	1,11%	0,212	1,13	4,39	-1,21	8,61	6,68	51,71%	24,43%	4,35	5,52%	1,81%	22.504.600,00	1.651.660.000,00	1,02	1,32%
CEGR3	57,99	36,73	11,93	3,794	2,02%	3,846	-160,25	21,47	-9,74	22,55	18,75	17,67%	10,33%	0,92	22,90%	32,49%	269,74	1.261.570.000,00	0,94	0,59%
SOMA3	13,83	36,82	1,51	5,296	0,00%	1,140	6,86	50,03	30,03	53,35	34,37	10,58%	14,38%	2,40	2,50%	4,11%	63.220.900,00	7.173.400.000,00	0,14	0,00%
BRFS3	18,75	37,43	2,00	0,331	0,00%	0,287	3,80	5,17	-0,72	10,92	5,72	6,39%	0,88%	1,20	9,10%	5,36%	240.863.000,00	7.599.850.000,00	3,18	7,78%
WEGE3	30,85	37,49	10,16	5,909	1,37%	5,755	17,96	30,47	24,06	30,16	26,98	19,40%	16,09%	1,96	24,16%	27,09%	229.736.000,00	12.750.400.000,00	0,13	23,13%
BRML3	9,26	40,40	0,75	7,869	0,00%	0,417	5,29	13,27	-1,31	17,32	16,17	59,28%	15,96%	3,94	3,43%	1,87%	197.871.000,00	10.717.700.000,00	0,38	-6,16%
DMVF3	4,03	40,70	0,25	0,188	0,00%	0,139	3,03	2,47	-0,88	1,81	0,87	7,60%	0,46%	1,20	7,00%	0,61%	418.240,00	823.207.000,00	0,08	0,00%
SCAR3	36,00	43,47	1,32	7,850	1,02%	0,669	6,83	14,23	-2,03	21,96	16,46	55,18%	18,45%	2,57	5,25%	3,05%	227.168,00	1.569.430.000,00	0,93	-8,02%
LREN3	26,20	45,61	2,73	2,651	1,58%	1,331	3,67	17,28	10,33	15,66	9,90	15,35%	5,81%	2,31	12,21%	5,98%	300.364.000,00	9.497.620.000,00	0,35	6,04%
RADL3	21,98	48,85	7,64	1,565	1,01%	2,520	17,50	27,77	-15,20	28,78	14,70	5,63%	3,27%	1,40	11,56%	15,64%	137.680.000,00	4.752.110.000,00	0,33	16,12%
CVCB3	13,01	48,90	5,63	4,338	0,00%	0,553	142,75	-7,12	-2,00	-7,66	-12,92	-60,92%	7,66%	1,01	-10,35%	11,51%	128.777.000,00	519.798.000,00	1,91	-15,11%
AALR3	16,15	49,70	1,58	1,647	0,00%	0,734	-42,45	15,16	-2,39	20,04	10,17	10,87%	4,14%	0,93	5,31%	3,19%	11.688.600,00	1.205.650.000,00	0,64	-0,38%
TOTS3	28,47	51,03	4,20	5,804	1,05%	1,864	9,39	14,22	-61,93	13,50	11,25	40,81%	11,37%	1,61	18,84%	8,22%	129.284.000,00	4.187.760.000,00	0,45	7,29%
YDUQ3	21,62	51,45	2,00	1,553	2,17%	0,673	13,02	15,33	-1,87	22,83	8,90	10,13%	3,02%	1,21	5,60%	3,88%	58.101.000,00	3.346.510.000,00	1,54	5,65%
RAIL3	15,26	52,75	1,86	3,728	0,00%	0,612	3,94	15,20	-1,42	21,37	10,96	24,52%	7,15%	2,94	4,98%	3,53%	185.803.000,00	15.208.900.000,00	1,30	8,43%
NTCO3	21,01	54,70	1,04	0,715	0,00%	0,494	6,69	13,97	-2,12	17,51	7,56	5,12%	1,29%	1,34	4,42%	1,90%	220.023.000,00	27.849.900.000,00	0,46	2,92%
MGLU3	6,33	59,57	3,93	1,189	0,24%	1,398	6,54	79,41	216,81	79,87	32,67	1,50%	2,00%	1,49	2,79%	6,60%	928.102.000,00	10.872.500.000,00	0,22	33,50%
